"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 18:25:25 GMT 2025","Thu Oct 09 18:25:26 GMT 2025","964","test_api_search.tests","test_api_search_api","","","","test_suggestions_positive",""
"passed","Thu Oct 09 18:25:27 GMT 2025","Thu Oct 09 18:25:28 GMT 2025","1171","test_api_search.tests","test_products_api","","","","test_products_positive",""
"passed","Thu Oct 09 18:25:26 GMT 2025","Thu Oct 09 18:25:27 GMT 2025","841","test_api_search.tests","test_api_search_api","","","","test_suggestions_negative_empty",""
"passed","Thu Oct 09 18:25:28 GMT 2025","Thu Oct 09 18:25:29 GMT 2025","1105","test_api_search.tests","test_products_api","","","","test_products_negative_symbols",""
